gender,country,city,age,brand,department,category,target
M,United States,Palermo,38.0,FEA,Men,Tops & Tees,0
M,Brasil,Brasília,42.0,CARRAIG DONN KNITWEAR;Woolrich;American Apparel;KNOTHE SPA;O'Neill;IZOD,Men;Men;Men;Men;Men;Men,Sweaters;Outerwear & Coats;Fashion Hoodies & Sweatshirts;Sleep & Lounge;Swim;Shorts,0
F,Brasil,Bento Gonçalves,56.0,Medela,Women,Maternity,0
M,United States,Iona,30.0,Paul Malone;Devon & Jones,Men;Men,Suits & Sport Coats;Tops & Tees,0
M,China,Qinhuangdao,47.0,BLOOMINGDALES;7 For All Mankind;Pacific Legend,Men;Men;Men,Sweaters;Jeans;Tops & Tees,0
F,South Korea,Cheonan City,62.0,Mountain Hardwear;Lee,Women;Women,Outerwear & Coats;Pants & Capris,0
M,Germany,Rüsselsheim am Main,40.0,Matix,Men,Pants,1
M,Poland,Bogatynia,51.0,7 For All Mankind;Modern Culture;Members Only,Men;Men;Men,Jeans;Shorts;Outerwear & Coats,0
M,China,Nanjing,29.0,Bottoms Out,Men,Underwear,0
F,United States,Fresno,42.0,Vigoss,Women,Jeans,0
F,China,Suzhou,23.0,Black Fuchsia;L*Space,Women;Women,Intimates;Swim,0
M,China,Handan,51.0,King Formal Wear,Men,Suits & Sport Coats,0
F,Germany,Gauting,49.0,MANGO,Women,Sweaters,0
M,China,Ordos,14.0,Columbia,Men,Accessories,0
F,China,Chengdu,14.0,Le Suit;Natori,Women;Women,Suits;Intimates,0
F,China,Zhengzhou,63.0,Not Your Daughter's Jeans,Women,Jeans,0
F,China,Wenzhou,49.0,Irall;Just Sexy;Diesel;Full Tilt,Women;Women;Women;Women,Intimates;Intimates;Blazers & Jackets;Fashion Hoodies & Sweatshirts,0
M,China,Yiyang,70.0,Oakley,Men,Shorts,0
M,France,La Hoguette,17.0,ExOfficio,Men,Active,1
F,Brasil,Lucas do Rio Verde,48.0,BB Dakota;Alfred Dunner;Pendleton,Women;Women;Women,Dresses;Pants & Capris;Sweaters,0
F,Germany,Hoppegarten,37.0,Kate Spade;Speedo;BANDOLINO;Addison;Tommy Hilfiger,Women;Women;Women;Women;Women,Plus;Swim;Shorts;Dresses;Sweaters,0
F,United States,Horizon City,44.0,Cashmere Pashmina Group;bebe;Parker,Women;Women;Women,Accessories;Jumpsuits & Rompers;Dresses,0
F,United Kingdom,Shepshed,46.0,Allegra K;District Threads;Rip Curl;Roxy;HUE;Carrera;Maidenform,Women;Women;Women;Women;Women;Women;Women,Jumpsuits & Rompers;Fashion Hoodies & Sweatshirts;Fashion Hoodies & Sweatshirts;Fashion Hoodies & Sweatshirts;Socks & Hosiery;Accessories;Intimates,0
F,China,Chat,38.0,Bali;Swim 365;Ray-Ban,Women;Women;Women,Intimates;Swim;Plus,0
F,United States,Shreveport,48.0,Miss Me;Joe's Jeans;007Lingerie;Helly Hansen;Coquette,Women;Women;Women;Women;Women,Jeans;Jeans;Active;Active;Intimates,0
M,United Kingdom,Edinburgh,16.0,Zanerobe,Men,Swim,0
M,Poland,Gorzów Wielkopolski,19.0,King Formal Wear;Champion,Men;Men,Suits & Sport Coats;Active,0
F,United States,Rocklin,26.0,Allegra K,Women,Jumpsuits & Rompers,0
F,Spain,Madrid,49.0,Karen Kane;Spiewak;Betsey Johnson,Women;Women;Women,Pants & Capris;Outerwear & Coats;Intimates,0
F,China,Qingdao,46.0,Not Your Daughter's Jeans;The West Coast;Ames,Women;Women;Women,Jeans;Shorts;Maternity,1
F,United States,Woodridge,47.0,Moving Comfort,Women,Intimates,0
M,Brasil,Londrina,28.0,Rip Curl,Men,Fashion Hoodies & Sweatshirts,0
F,France,Vénissieux,43.0,MAXSTUDIO;G&G;Baby Be Mine,Women;Women;Women,Pants & Capris;Accessories;Maternity,0
F,United States,Drexel Hill,41.0,Cashmere Int,Women,Plus,0
M,China,Shanghai,54.0,Port Authority;Hanes;Company 81;Legend;Volcom,Men;Men;Men;Men;Men,Sweaters;Socks;Jeans;Fashion Hoodies & Sweatshirts;Swim,0
F,France,Saint-Marcel-Bel-Accueil,51.0,Hanes;Ulla Popken;Trina Turk,Women;Women;Women,Intimates;Sweaters;Dresses,0
F,China,Wenzhou,47.0,Juicy Couture;Heavenly Shapewear;Motherhood Maternity,Women;Women;Women,Shorts;Intimates;Maternity,0
F,Spain,Alcalá de Henares,24.0,Foot Traffic,Women,Leggings,0
F,China,Shenzhen,64.0,HOBO,Women,Accessories,0
M,United States,Rowlett,57.0,PPU;Moods of Norway;JiMarti;Perry Ellis;Wrangler,Men;Men;Men;Men;Men,Underwear;Pants;Accessories;Swim;Jeans,0
F,South Korea,Paju City,59.0,Jones New York;Wrapper;Carhartt,Women;Women;Women,Shorts;Dresses;Outerwear & Coats,0
F,United States,Fort Worth,70.0,ililily;Sassybax,Women;Women,Fashion Hoodies & Sweatshirts;Intimates,0
M,United Kingdom,London,31.0,Carhartt;Joseph Abboud;BGSD;Kenneth Cole REACTION,Men;Men;Men;Men,Outerwear & Coats;Suits & Sport Coats;Outerwear & Coats;Accessories,0
M,China,Quanzhou,45.0,Touch of Europe Flannel Pants,Men,Sleep & Lounge,0
F,Spain,Corralejo,56.0,Frederick's of Hollywood,Women,Intimates,1
F,United States,Chicago,28.0,Patty;VIVILLI,Women;Women,Sweaters;Intimates,0
M,France,Nîmes,48.0,Champion,Men,Tops & Tees,0
F,South Korea,Seoul,61.0,Allegra K;Hurley;Roxy;Russell Athletic,Women;Women;Women;Women,Shorts;Fashion Hoodies & Sweatshirts;Sweaters;Active,0
M,Japan,Tokyo,64.0,Volcom;Minus33 Merino Wool;Oak Hill;Pendleton;Fox;Carhartt,Men;Men;Men;Men;Men;Men,Jeans;Tops & Tees;Sweaters;Tops & Tees;Swim;Outerwear & Coats,0
M,Brasil,Fortaleza,19.0,Oakley,Men,Shorts,0
M,France,Puteaux,62.0,Haggar;Minus33 Merino Wool;Barbour;Southpole;Haggar,Men;Men;Men;Men;Men,Pants;Underwear;Outerwear & Coats;Fashion Hoodies & Sweatshirts;Pants,0
F,Germany,Neuburg an der Donau,40.0,Not Your Daughter's Jeans,Women,Jeans,0
M,China,Chengdu,52.0,True Religion,Men,Shorts,0
F,France,Le Fidelaire,28.0,Nine West,Women,Dresses,0
F,United Kingdom,Manchester,38.0,Russell Athletic;Allegra K;Cole Haan;Belly Bandit,Women;Women;Women;Women,Active;Dresses;Outerwear & Coats;Maternity,0
M,China,Wuxi,48.0,Quiksilver,Men,Fashion Hoodies & Sweatshirts,0
M,United Kingdom,Hayes,14.0,Apparel;Calvin Klein,Men;Men,Sweaters;Tops & Tees,0
M,Brasil,Camamu,14.0,Hanro;DC;Levi's,Men;Men;Men,Sleep & Lounge;Fashion Hoodies & Sweatshirts;Jeans,0
M,China,Beijing,27.0,Papi,Men,Underwear,0
F,China,Wuhan,26.0,YMI;Bali,Women;Women,Jeans;Intimates,0
F,Belgium,Watermael-Boitsfort,52.0,French Connection,Women,Dresses,0
F,United States,Tallahassee,67.0,Gloria Vanderbilt;Hurley;Hanes,Women;Women;Women,Shorts;Fashion Hoodies & Sweatshirts;Intimates,0
F,Spain,Burgos,47.0,Jones New York,Women,Dresses,0
F,United Kingdom,London,46.0,Roxy;Tommy Hilfiger;Samanthas Style Shoppe;Oakley,Women;Women;Women;Women,Fashion Hoodies & Sweatshirts;Sleep & Lounge;Sweaters;Plus,0
M,United States,Leesburg,63.0,Macks Prairie Wings,Men,Fashion Hoodies & Sweatshirts,0
M,China,Nanjing,42.0,Carhartt,Men,Tops & Tees,0
M,United States,Gainesville,59.0,Analog,Men,Shorts,0
M,United States,Elmont,18.0,Lucky Brand,Men,Shorts,0
F,United States,La Mirada,57.0,Not Your Daughter's Jeans,Women,Jeans,0
M,United States,Pottsville,65.0,King Formal Wear;Throwdown,Men;Men,Suits & Sport Coats;Swim,0
M,China,Guangzhou,56.0,DC,Men,Pants,0
F,China,Foshan,36.0,Sweetheart Slips;Lodis;Calvin Klein;White Orchid;SmartWool;Kristen Blake,Women;Women;Women;Women;Women;Women,Intimates;Accessories;Pants & Capris;Sleep & Lounge;Socks & Hosiery;Outerwear & Coats,0
F,United States,Freehold Township,13.0,My1stwish,Women,Sweaters,0
M,United States,Deerfield,47.0,Private Member;Intimo;Van Heusen;RVCA;Acura,Men;Men;Men;Men;Men,Underwear;Socks;Tops & Tees;Fashion Hoodies & Sweatshirts;Sleep & Lounge,0
M,Poland,Schwedt/Oder,19.0,IZOD;Carhartt;Comune;Wigwam,Men;Men;Men;Men,Shorts;Tops & Tees;Pants;Socks,0
F,China,Zhangzhou,29.0,DPC/Scalar;Natori;Shadowline;Jessica Simpson;MW;Xfy,Women;Women;Women;Women;Women;Women,Accessories;Intimates;Plus;Outerwear & Coats;Swim;Sweaters,0
M,South Korea,Jeju City,23.0,LRG,Men,Swim,0
M,France,Malville,22.0,ARROW,Men,Tops & Tees,0
M,Brasil,Brasília,21.0,Joe's Jeans,Men,Jeans,0
M,China,Luohe,28.0,The Little Alpaca's House;Woolrich,Men;Men,Sweaters;Sweaters,0
F,China,Ningbo,52.0,DV by Dolce Vita,Women,Fashion Hoodies & Sweatshirts,0
F,United States,Virginia Beach,47.0,Ibex;likemary;Glamour,Women;Women;Women,Active;Maternity;Maternity,0
F,Brasil,Vigia,62.0,Hanes,Women,Socks & Hosiery,0
M,Germany,Rietberg,46.0,CW-X;Rip Curl;Y&G,Men;Men;Men,Socks;Swim;Accessories,0
M,China,Harbin,50.0,Volcom,Men,Tops & Tees,1
F,South Korea,Busan,33.0,Allegra K;Isis;Dorfman Pacific;Gem Avenue,Women;Women;Women;Women,Jumpsuits & Rompers;Intimates;Plus;Accessories,0
F,China,Huaibei,54.0,Electric;Bslingerie;Babakul;Sutton Studio;Allegra K;Calvin Klein,Women;Women;Women;Women;Women;Women,Accessories;Intimates;Blazers & Jackets;Blazers & Jackets;Blazers & Jackets;Swim,0
M,China,Shan Tou,19.0,Carhartt;Retrofit;Wrangler,Men;Men;Men,Tops & Tees;Fashion Hoodies & Sweatshirts;Jeans,0
F,Japan,West Tokyo,52.0,Vx Intimate Inc;Charles River Apparel;7 For All Mankind;DREAMS;TYR;Nautica;Samanthas Style Shoppe;KAMALIKULTURE,Women;Women;Women;Women;Women;Women;Women;Women,Intimates;Fashion Hoodies & Sweatshirts;Jeans;Sleep & Lounge;Swim;Sleep & Lounge;Pants & Capris;Dresses,0
F,United States,Las Vegas,68.0,Pencey Standard Jessica Hart;American Apparel;Alexander Del Rossa;Volcom;Billabong,Women;Women;Women;Women;Women,Shorts;Shorts;Sleep & Lounge;Jeans;Shorts,0
M,United States,New York,35.0,Eddie Bauer,Men,Tops & Tees,0
M,Brasil,Teixeira de Freitas,34.0,Vince;Volcom,Men;Men,Sweaters;Fashion Hoodies & Sweatshirts,0
M,China,Dongguan,20.0,ExOfficio,Men,Active,0
F,Australia,Sydney,30.0,Elle Macpherson Intimates;Brag Company;Miss Me;Momo Maternity,Women;Women;Women;Women,Intimates;Intimates;Pants & Capris;Maternity,0
F,Brasil,Franca,37.0,Hurley,Women,Shorts,1
M,China,Guangzhou,14.0,Columbia;Alpha Industries;Fox,Men;Men;Men,Pants;Shorts;Shorts,0
F,China,Zhengzhou,27.0,Allegra K;Knit Caps,Women;Women,Shorts;Plus,0
F,France,Bordeaux,66.0,Allegra K;Curve Appeal,Women;Women,Fashion Hoodies & Sweatshirts;Dresses,0
F,China,Jilin,35.0,Sock It To Me;dollhouse,Women;Women,Plus;Plus,0
F,China,Shanghai,14.0,Luli Fama;Levi's,Women;Women,Swim;Jeans,0
F,France,Claye-Souilly,43.0,Patty,Women,Sweaters,0
M,Spain,Lasarte-Oria,56.0,Robert Graham,Men,Socks,0
F,Australia,Perth,44.0,Trasparenze;Capezio;Yummie Tummie,Women;Women;Women,Socks & Hosiery;Active;Maternity,0
M,China,Nanjing,15.0,Majestic International,Men,Sleep & Lounge,1
F,Brasil,Mairiporã,44.0,Kangol;MyEyeglassCase;Calvin Klein,Women;Women;Women,Accessories;Accessories;Intimates,0
M,China,Taiyuan,36.0,Levi's,Men,Jeans,0
M,Spain,Barberà del Vallès,34.0,Gold Toe,Men,Socks,0
M,China,Guigang,60.0,Tommy Hilfiger;Lucky Brand;Ed Hardy,Men;Men;Men,Accessories;Tops & Tees;Sleep & Lounge,1
F,United States,Cleveland,51.0,Bali;Royal Robbins;Roxy;vip boutique,Women;Women;Women;Women,Intimates;Skirts;Fashion Hoodies & Sweatshirts;Fashion Hoodies & Sweatshirts,0
F,United States,Tempe,33.0,Greatlookz,Women,Plus,1
F,United Kingdom,Tamworth,54.0,Glamorise,Women,Plus,0
M,Australia,Brisbane,44.0,HUGO BOSS,Men,Socks,0
F,China,Chengdu,51.0,ASICS,Women,Active,0
F,United States,Fort Worth,53.0,Lilly Pulitzer;Roxy,Women;Women,Skirts;Fashion Hoodies & Sweatshirts,0
M,United States,New York,49.0,Throwdown by Affliction,Men,Fashion Hoodies & Sweatshirts,0
F,South Korea,Seoul,28.0,Under Moments;Alexander Del Rossa;2b by bebe;XOXO,Women;Women;Women;Women,Intimates;Sleep & Lounge;Pants & Capris;Jumpsuits & Rompers,0
F,China,Chengdu,18.0,Flexees;Coquette;NYGiftStop Scarf;Capelli New York;Cashmere Boutique,Women;Women;Women;Women;Women,Intimates;Intimates;Accessories;Socks & Hosiery;Sweaters,1
F,United States,Castle Rock,31.0,Michael Stars,Women,Fashion Hoodies & Sweatshirts,1
F,Brasil,São Paulo,55.0,Parkhurst;Jones New York;Kasper,Women;Women;Women,Outerwear & Coats;Outerwear & Coats;Suits,0
M,South Korea,Suwon City,62.0,Original Penguin;Harley-Davidson;Blue Star Inc.;Diesel;Wrangler,Men;Men;Men;Men;Men,Tops & Tees;Fashion Hoodies & Sweatshirts;Fashion Hoodies & Sweatshirts;Jeans;Jeans,0
F,United States,Shelby,14.0,Gilbin,Women,Plus,0
F,China,Taiyuan,51.0,Jostar;Calvin Klein,Women;Women,Clothing Sets;Sleep & Lounge,0
M,United States,Locust Grove,29.0,Paul Fredrick,Men,Suits & Sport Coats,1
M,Germany,Emden,51.0,Abini,Men,Suits & Sport Coats,0
M,China,Suzhou,63.0,Angry Birds,Men,Sleep & Lounge,0
M,Brasil,Biguaçu,68.0,Matix;Levi's;Overland Sheepskin Co,Men;Men;Men,Jeans;Jeans;Outerwear & Coats,0
M,China,Dongguan,33.0,Carhartt;Wanted,Men;Men,Outerwear & Coats;Sleep & Lounge,0
F,Spain,Atarfe,25.0,Icebreaker,Women,Active,0
M,China,Xingtai,27.0,TAVIK,Men,Fashion Hoodies & Sweatshirts,0
M,China,Tangshan,16.0,Topo Ranch;Burnside;Alpha Industries,Men;Men;Men,Fashion Hoodies & Sweatshirts;Tops & Tees;Outerwear & Coats,0
F,United States,Knik River,31.0,Amnesty International,Women,Fashion Hoodies & Sweatshirts,0
M,Germany,Laupheim,22.0,Throwdown;Fruit of the Loom;Faconnable,Men;Men;Men,Shorts;Underwear;Tops & Tees,0
M,Germany,Burscheid,54.0,Wrightsock;Calvin Klein;Woolrich,Men;Men;Men,Active;Sweaters;Outerwear & Coats,0
M,United States,Lacey,35.0,Hot Topic;Big Feet Pajama Co.,Men;Men,Jeans;Sleep & Lounge,0
F,China,Shenyang,31.0,Scottevest,Women,Fashion Hoodies & Sweatshirts,0
F,South Korea,Goyang City,39.0,Jezebel;Natori;LAmade,Women;Women;Women,Intimates;Sleep & Lounge;Sweaters,0
M,China,Taizhou,70.0,Alpinestars,Men,Pants,0
F,United States,Long Beach,16.0,Columbia;Oscar de la Renta,Women;Women,Active;Intimates,0
M,China,Shanghai,27.0,CEP;Cubavera,Men;Men,Socks;Sweaters,0
F,United States,Poughkeepsie,23.0,Trina Turk,Women,Outerwear & Coats,0
M,Brasil,Tapiraim,26.0,Dockers;Hanes,Men;Men,Socks;Underwear,0
F,Brasil,Manaus,36.0,Orvis;VIP BOUTIQUE;Not Your Daughter's Jeans,Women;Women;Women,Skirts;Dresses;Jeans,0
M,China,Wenzhou,27.0,Thorlo,Men,Active,0
F,Brasil,Casimiro de Abreu,66.0,7 For All Mankind;7 For All Mankind;Ozone,Women;Women;Women,Shorts;Shorts;Plus,0
M,Japan,West Tokyo,33.0,IZOD;HUGO BOSS;Richer Poorer;Buffalo by David Bitton;Minus33 Merino Wool;Black Market-Lowbrow,Men;Men;Men;Men;Men;Men,Sweaters;Underwear;Socks;Jeans;Tops & Tees;Fashion Hoodies & Sweatshirts,0
F,Japan,Musashino,25.0,Rampage;Stella Elyse;Zoot,Women;Women;Women,Intimates;Leggings;Swim,0
F,United States,Joplin,61.0,Style & Co.,Women,Pants & Capris,0
M,United States,West Valley City,15.0,Timoteo,Men,Swim,0
M,China,Shenzhen,52.0,Oakley,Men,Accessories,0
M,China,Xiaogan,13.0,Kenneth Cole;Perry Ellis;Volcom,Men;Men;Men,Outerwear & Coats;Pants;Accessories,0
F,China,Shaoyang,65.0,Dearfoams;Besame,Women;Women,Sleep & Lounge;Intimates,1
F,France,Saint-Christophe-de-Double,32.0,Ice;Danskin,Women;Women,Suits;Active,0
F,Japan,Numazu City,18.0,Danskin,Women,Active,0
M,Brasil,Hortolândia,21.0,INDERA THERMALS,Men,Active,1
F,Brasil,Quixeramobim,27.0,Lindy Bop;Sag Harbor;Valmont;Motherhood Maternity;BCBGeneration,Women;Women;Women;Women;Women,Dresses;Sweaters;Intimates;Maternity;Dresses,0
F,Germany,Hamburg,64.0,Champion;Ingrid & Isabel;Sweet Mommy,Women;Women;Women,Active;Maternity;Maternity,0
M,France,Colomiers,67.0,Minus33 Merino Wool;Perry Ellis,Men;Men,Active;Pants,0
F,China,Suzhou,30.0,Bslingerie,Women,Intimates,0
M,Australia,Melbourne,35.0,NEFF;Victorinox;Kanu Surf;Canterbury of New Zealand,Men;Men;Men;Men,Accessories;Sweaters;Swim;Tops & Tees,1
F,China,Shangrao,17.0,Olga;Wigwam,Women;Women,Intimates;Socks & Hosiery,0
M,China,Yueyang,41.0,True Religion;X-Loop,Men;Men,Jeans;Accessories,0
F,South Korea,Namyangju City,47.0,Vanity Fair,Women,Plus,0
M,China,Taizhou,59.0,Hot Topic,Men,Jeans,1
F,China,Zhengzhou,16.0,Lilly Pulitzer;Anne Klein;Soxnet,Women;Women;Women,Shorts;Dresses;Socks & Hosiery,0
F,Brasil,Colniza,13.0,Bridgedale,Women,Socks & Hosiery,0
F,United States,Vineland,52.0,LAmade;Sock It To Me,Women;Women,Sweaters;Socks & Hosiery,0
F,South Korea,Incheon Metropolitan City,34.0,Elan;Quiksilver;Chestnut Hill;Alfred Dunner;Patty;FineBrandShop,Women;Women;Women;Women;Women;Women,Dresses;Dresses;Tops & Tees;Pants & Capris;Outerwear & Coats;Fashion Hoodies & Sweatshirts,0
F,China,Baoding,64.0,DL1961;Orvis;Sutton Studio,Women;Women;Women,Jeans;Clothing Sets;Blazers & Jackets,1
M,Brasil,Bertioga,40.0,G-Star,Men,Jeans,0
M,Germany,Haar,41.0,Helly Hansen;Dr. Scholl's;Dickies;Nautica;Oakley,Men;Men;Men;Men;Men,Active;Socks;Jeans;Fashion Hoodies & Sweatshirts;Sweaters,1
M,China,Ningbo,31.0,2(x)ist;Lacoste;Dickies;Caterpillar;Wrangler,Men;Men;Men;Men;Men,Underwear;Shorts;Pants;Tops & Tees;Jeans,0
M,Germany,Duisburg,67.0,O'Neill;Bosca;Levi's;Lucky Brand;Ray-Ban;Carhartt,Men;Men;Men;Men;Men;Men,Swim;Accessories;Accessories;Jeans;Accessories;Outerwear & Coats,1
M,Spain,Terrassa,51.0,Calvin Klein;Sons of Anarchy;Kuhl;Quiksilver;Mavi;Gotcha;Tallia,Men;Men;Men;Men;Men;Men;Men,Suits & Sport Coats;Outerwear & Coats;Outerwear & Coats;Tops & Tees;Jeans;Swim;Suits & Sport Coats,0
M,China,Weifang,63.0,Life Is Good,Men,Active,0
F,Spain,Sant Just Desvern,22.0,Loyal;Anne Klein;Mommy Paradise,Women;Women;Women,Fashion Hoodies & Sweatshirts;Skirts;Maternity,0
F,China,Zhangzhou,64.0,Marcoliani Milano;IGIGI by Yuliya Raquel;Flexees,Women;Women;Women,Socks & Hosiery;Dresses;Intimates,0
M,China,Foshan,16.0,Hurley,Men,Tops & Tees,0
M,France,Avant-lès-Marcilly,14.0,Allegra K,Men,Pants,1
M,China,Xi'an,69.0,The Little Alpaca's House,Men,Sweaters,0
M,China,Hohhot,49.0,O'Neill,Men,Shorts,0
M,United States,Richmond,35.0,Columbia;Ecko Unltd.;Fox;Eurosock,Men;Men;Men;Men,Pants;Fashion Hoodies & Sweatshirts;Swim;Active,0
M,China,Bijie,59.0,Carhartt,Men,Outerwear & Coats,0
F,China,Hangzhou,29.0,A. Byer,Women,Pants & Capris,0
F,United States,New York,26.0,Cashmere Pashmina Group,Women,Accessories,0
F,United States,Philadelphia,50.0,Calvin Klein,Women,Blazers & Jackets,0
M,China,Dongguan,54.0,Allegra K;YAGO;Element;American Essentials;Geoffrey Beene,Men;Men;Men;Men;Men,Pants;Fashion Hoodies & Sweatshirts;Jeans;Sleep & Lounge;Sweaters,0
M,Spain,Sevilla,21.0,True Religion;Ben Sherman,Men;Men,Jeans;Suits & Sport Coats,0
F,France,Gennevilliers,13.0,Texcyngoods,Women,Plus,0
F,United States,Richmond,62.0,SwypeGloves;Disney,Women;Women,Accessories;Sleep & Lounge,0
M,China,Shanghai,58.0,Tommy Hilfiger;Original Penguin,Men;Men,Tops & Tees;Swim,0
M,Japan,Nishinomiya City,44.0,DC;Tallia;Wrightsock,Men;Men;Men,Fashion Hoodies & Sweatshirts;Suits & Sport Coats;Socks,0
F,China,Honghe Hani Dai Autonomous Prefecture,49.0,ECHO;D&G Dolce & Gabbana;Steve & Barrys;Carol Wright Gifts;106Shades,Women;Women;Women;Women;Women,Accessories;Plus;Pants & Capris;Clothing Sets;Accessories,0
M,United States,Columbus,54.0,Under Armour;State O Maine,Men;Men,Active;Sleep & Lounge,0
F,China,Shanghai,31.0,District Threads;Tresics,Women;Women,Fashion Hoodies & Sweatshirts;Tops & Tees,0
F,Brasil,Colombo,62.0,Bslingerie;My Michelle,Women;Women,Intimates;Skirts,1
M,China,Shaoxing,28.0,Champion;Marc New York by Andrew Marc,Men;Men,Active;Outerwear & Coats,0
F,China,Changchun,65.0,Jockey,Women,Sleep & Lounge,0
F,Brasil,Santa Luzia,40.0,Danskin,Women,Active,1
F,China,Shanghai,42.0,Hatley;Keen;Ilusion,Women;Women;Women,Sleep & Lounge;Socks & Hosiery;Intimates,0
M,Brasil,Mauriti,58.0,Tasso Elba;Tallia;Faconnable,Men;Men;Men,Suits & Sport Coats;Suits & Sport Coats;Tops & Tees,0
M,United States,New York,16.0,Kenneth Cole REACTION,Men,Accessories,0
M,China,Lan'Zhou,65.0,Pearl iZUMi,Men,Active,0
F,China,Tianjin,22.0,Suit Studio;HUE,Women;Women,Suits;Socks & Hosiery,0
M,Brasil,Chapadinha,68.0,Lucky Brand;AG Adriano Goldschmied,Men;Men,Jeans;Pants,1
F,China,Wenzhou,64.0,Assets;Hip;Dreamgirl;J BRAND;Allegra K,Women;Women;Women;Women;Women,Intimates;Intimates;Intimates;Pants & Capris;Blazers & Jackets,0
F,China,Jiaxing,47.0,Sutton Studio,Women,Blazers & Jackets,0
F,China,Yiyang,61.0,Nantucket Brand;Anna-Kaci,Women;Women,Shorts;Leggings,0
M,United States,Memphis,15.0,Antique Rivet,Men,Sweaters,0
F,United States,North Augusta,22.0,Momo Maternity,Women,Maternity,0
M,China,Zhengzhou,42.0,Mountain Hardwear,Men,Outerwear & Coats,0
F,China,Beijing,49.0,Betsey Johnson,Women,Intimates,0
M,China,Huaian,17.0,Metal Mulisha,Men,Shorts,1
F,United States,Houston,33.0,Canada Goose;Bali,Women;Women,Active;Intimates,0
F,United States,New York,16.0,My Little Pony;Ilusion,Women;Women,Tops & Tees;Intimates,0
M,Brasil,Macapá,31.0,Eddie Bauer;Wickers,Men;Men,Jeans;Underwear,1
M,Brasil,Dracena,55.0,O'Neill,Men,Swim,0
F,Spain,Zafra,70.0,Night Shirt;ililily;COOL-JAMS WICKING SLEEPWEAR,Women;Women;Women,Sleep & Lounge;Fashion Hoodies & Sweatshirts;Sleep & Lounge,0
M,United States,New York,26.0,Belts.com;Quiksilver,Men;Men,Accessories;Fashion Hoodies & Sweatshirts,1
F,China,Xiangtan,33.0,Lee,Women,Pants & Capris,0
M,Brasil,Colniza,70.0,Polo Ralph Lauren,Men,Outerwear & Coats,1
F,United States,Canyon Lake,58.0,SmartWool;Sutton Studio;Cosabella;Anna-Kaci;Volcom,Women;Women;Women;Women;Women,Plus;Sweaters;Intimates;Blazers & Jackets;Jeans,0
F,Brasil,Agrovila Liberal,45.0,Medela;United Face;Hanky Panky,Women;Women;Women,Maternity;Outerwear & Coats;Intimates,0
M,Brasil,null,12.0,Allegra K,Men,Pants,1
F,United States,Amarillo,20.0,Allegra K,Women,Dresses,0
F,United States,Greenwood,14.0,Levi's,Women,Jeans,0
F,China,Dongguan,14.0,Isotoner;Maternal America,Women;Women,Accessories;Maternity,0
F,Brasil,Camaçari,49.0,FineBrandShop,Women,Leggings,0
M,France,Châteaugiron,65.0,Jockey,Men,Underwear,0
F,Spain,Sant Jordi,39.0,Betsey Johnson;Tommy Hilfiger;Mary Green;Reebok,Women;Women;Women;Women,Sleep & Lounge;Sleep & Lounge;Intimates;Fashion Hoodies & Sweatshirts,0
F,United States,Austin,44.0,Allegra K;Joie;Ed Garments;Wacoal;2b by bebe,Women;Women;Women;Women;Women,Tops & Tees;Pants & Capris;Sweaters;Intimates;Pants & Capris,0
M,United States,Cape Girardeau,35.0,New Balance;Blac Label;Worn Jeans;French Connection,Men;Men;Men;Men,Socks;Outerwear & Coats;Pants;Shorts,0
F,Brasil,Santo Estêvão,47.0,Rebecca Minkoff,Women,Blazers & Jackets,0
F,China,Beijing,49.0,prAna;MAXSTUDIO,Women;Women,Active;Shorts,0
M,United States,Las Vegas,58.0,BERLE,Men,Pants,0
F,Germany,Filderstadt,61.0,Laura;Yelete;Jones New York,Women;Women;Women,Intimates;Leggings;Dresses,0
F,China,Anyang,16.0,Siwy,Women,Shorts,0
M,China,Xiaogan,37.0,Nautica;SmartWool;G-Star;Pendleton,Men;Men;Men;Men,Socks;Socks;Sweaters;Tops & Tees,1
M,United States,Toledo,29.0,Burnside,Men,Fashion Hoodies & Sweatshirts,0
F,United States,Pataskala,45.0,Activewear Apparel,Women,Accessories,0
F,Japan,Matsudo City,34.0,Intimates Boutique;Wallflower;Jenni;SmartWool,Women;Women;Women;Women,Intimates;Shorts;Shorts;Active,0
F,United States,West University Place,61.0,Allegra K;Bench;prAna,Women;Women;Women,Jumpsuits & Rompers;Fashion Hoodies & Sweatshirts;Outerwear & Coats,0
F,Brasil,Ribeirão Preto,28.0,PacSun;Carnival;Oakley;Vx Intimate Inc,Women;Women;Women;Women,Fashion Hoodies & Sweatshirts;Plus;Swim;Intimates,0
F,China,Changchun,43.0,ExOfficio;Twelfth Street by Cynthia Vincent;BCBGMAXAZRIA,Women;Women;Women,Active;Sweaters;Dresses,0
F,Brasil,Salvador,28.0,What Katie Did;Flexees;TapouT,Women;Women;Women,Intimates;Intimates;Active,0
F,United States,Conway,28.0,Carve Designs,Women,Swim,0
F,United States,Sheldon,50.0,Life Is Good,Women,Active,0
F,United States,Aventura,13.0,Planet Earth;Linda Hartman;Wigwam,Women;Women;Women,Fashion Hoodies & Sweatshirts;Intimates;Socks & Hosiery,0
M,Brasil,Florianópolis,56.0,Rip Curl,Men,Swim,0
M,South Korea,Asan City,29.0,Diesel,Men,Sleep & Lounge,0
